locations,nb_users,MemberEvent,GistEvent,PullRequestReviewCommentEvent,ForkEvent,FollowEvent,PublicEvent,PullRequestEvent,ReleaseEvent,IssueCommentEvent,PushEvent,DeleteEvent,DownloadEvent,GollumEvent,WatchEvent,CommitCommentEvent,IssuesEvent,CreateEvent,Lat,Lng
Boulogne-Billancourt,14,2,0,0,23,14,0,2,0,9,1148,44,0,5,45,1,7,159,48.831776,2.2374079999999594
Valenciennes,13,23,0,3,28,37,0,21,3,51,539,10,0,4,118,1,219,88,50.3576314,3.53072080000004
Nimes,13,2,1,0,25,11,1,22,1,16,199,13,0,4,265,2,6,73,43.83983720000001,4.349518799999942
Mulhouse,12,14,0,0,8,31,6,8,7,9,390,10,0,12,33,1,5,45,47.7479876,7.340844199999992
Saclay,12,0,0,110,29,5,0,30,1,137,306,12,0,5,7,11,62,60,48.73668,2.180033999999978
Orsay,12,0,0,96,24,8,0,103,1,380,1900,68,0,7,109,85,131,196,48.7067161,2.1784207000000606
Issy-les-Moulineaux,12,5,0,0,11,10,0,20,0,35,347,1,0,3,110,3,110,93,48.8245306,2.2743418999999676
Perpignan,11,0,29,0,21,2,1,46,0,39,386,14,0,1,101,1,17,85,42.7249997,2.889369600000009
Tourcoing,11,0,2,0,27,57,0,20,5,9,452,8,0,29,299,0,25,63,50.724993,3.1620699999999715
Albi,10,0,0,0,30,29,0,43,0,83,490,7,0,4,63,5,24,92,43.9444476,2.158584700000006
BÈziers,10,32,0,0,8,19,1,5,2,21,740,4,0,41,41,0,34,64,43.398432,3.166581899999983
